id,pop,region,name,color,totPop
sa,3.80,marmara,edirne,red,411.528
sa,3.32,marmara,kirklareli,red,360.860
sa,9.10,marmara,tekirdag,red,1.029.927
sa,133,marmara,istanbul,red,15.067.724
sa,16.9,marmara,kocaeli,red,1.906.391
sa,2.20,marmara,yalova,red,262.234
sa,8.90,marmara,sakarya,red,1.010.700
sa,2.02,marmara,bilecik,red,223.448
sa,26.50,marmara,bursa,red,2.994.521
sa,11.18,marmara,balikesir,red,1.226.575
sa,4.90,marmara,çanakkale,red,540.662
sa,39.23,ege,izmir,blue,4.320.519
sa,12.90,ege,manisa,blue,1.429.643
sa,5.24,ege,kütahya,blue,577.941
sa,3.30,ege,uşak,blue,367.514
sa,6.46,ege,afyon,blue,725.568
sa,9.29,ege,denizli,blue,1.027.782
sa,9.90,ege,aydın,blue,1.097.746
sa,8.55,ege,muğla,blue,967.487
sa,20.99,akdeniz,antalya,pink,2.426.356
sa,2.45,akdeniz,burdur,pink,269.926
sa,3.97,akdeniz,ısparta,pink,441.412
sa,16.07,akdeniz,mersin,pink,1.814.468
sa,19.80,akdeniz,adana,pink,2.220.125
sa,9.92,akdeniz,kahramanmaraş,pink,1.144.851
sa,4.71,akdeniz,osmaniye,pink,534.415
sa,13.90,akdeniz,hatay,pink,1.609.856
sa,5.53,karadeniz,zonguldak,green,599.698
sa,3.42,karadeniz,düzce,green,387.844
sa,2.77,karadeniz,bolu,green,311.810
sa,1.80,karadeniz,bartın,green,198.999
sa,2.23,karadeniz,karabük,green,248.014
sa,3.44,karadeniz,kastamonu,green,383.373
sa,1.92,karadeniz,sinop,green,219.733
sa,4.77,karadeniz,çorum,green,536.483
sa,11.90,karadeniz,samsun,green,1.335.716
sa,3.03,karadeniz,amasya,green,337.508
sa,5.52,karadeniz,tokat,green,612.646
sa,6.82,karadeniz,ordu,green,771.932
sa,4.05,karadeniz,giresun,green,453.912
sa,1.56,karadeniz,gümüşhane,green,162.748
sa,7.17,karadeniz,trabzon,green,807.903
sa,0.73,karadeniz,bayburt,green,82.274
sa,3.05,karadeniz,rize,green,348.608
sa,1.54,karadeniz,artvin,green,174.010
sa,49.05,icAnadolu,ankara,yellow,5.503.985
sa,7.86,icAnadolu,eskişehir,yellow,871.187
sa,1.69,icAnadolu,çankırı,yellow,216.362
sa,2.53,icAnadolu,kırıkkale,yellow,286.602
sa,2.09,icAnadolu,kırşehir,yellow,241.868
sa,3.78,icAnadolu,yozgat,yellow,424.981
sa,19.53,icAnadolu,konya,yellow,2.205.609
sa,3.53,icAnadolu,aksaray,yellow,412.172
sa,2.22,icAnadolu,karaman,yellow,251.913
sa,3.17,icAnadolu,niğde,yellow,364.707
sa,12.33,icAnadolu,kayseri,yellow,1.389.680
sa,5.65,icAnadolu,sivas,yellow,646.608
sa,2.64,icAnadolu,nevşehir,yellow,298.339
sa,2.10,doguAnadolu,erzincan,brown,236.034
sa,7.11,doguAnadolu,malatya,brown,797.036
sa,5.29,doguAnadolu,elazığ,brown,595.638
sa,0.77,doguAnadolu,tunceli,brown,88.198
sa,2.42,doguAnadolu,bingöl,brown,281.205
sa,3.45,doguAnadolu,muş,brown,407.992
sa,6.75,doguAnadolu,erzurum,brown,767.848
sa,2.54,doguAnadolu,kars,brown,288.878
sa,0.88,doguAnadolu,ardahan,brown,98.907
sa,1.69,doguAnadolu,ığdır,brown,197.456	
sa,4.53,doguAnadolu,ağrı,brown,539.657
sa,9.43,doguAnadolu,van,brown,1.123.784
sa,2.43,doguAnadolu,hakkari,brown,286.470
sa,2.94,doguAnadolu,bitlis,brown,349.396
sa,17.12,guneydoguAnadolu,gaziantep,orange,2.028.563
sa,1.19,guneydoguAnadolu,kilis,orange,142.541
sa,16.27,guneydoguAnadolu,şanlıurfa,orange,2.035.809
sa,14.53,guneydoguAnadolu,diyarbakır,orange,1.732.396
sa,6.89,guneydoguAnadolu,mardin,orange,829.195
sa,5.00,guneydoguAnadolu,batman,orange,599.103
sa,2.77,guneydoguAnadolu,siirt,orange,331.670
sa,4.24,guneydoguAnadolu,şırnak,orange,524.190
sa,5.39,guneydoguAnadolu,adıyaman,orange,624.513